S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
ENSG00000007038	11	0	55	42	0	4	27	9	218	23	5	2	49	53	6	30	63	16	183	78
ENSG00000007047	316	171	278	139	126	403	771	1012	791	892	203	187	102	107	93	1008	779	728	726	1118
ENSG00000007080	165	79	167	67	58	198	346	613	622	512	97	74	121	69	52	795	1160	1037	634	1026
ENSG00000007129	18	16	15	9	13	62	53	57	75	51	17	30	12	5	6	47	123	40	86	40
ENSG00000007168	994	575	831	594	546	1459	2343	1701	1594	1769	750	596	421	420	465	1454	1576	1373	1360	1456
ENSG00000007171	11	8	3	3	3	7	30	6	23	14	7	8	2	20	2	15	2419	11	15	5
ENSG00000007174	10	9	8	2	4	22	33	43	45	32	6	3	3	3	5	21	25	46	39	25
ENSG00000007202	1938	1318	2380	1100	1073	3788	6249	6686	6261	5018	1181	1244	1100	705	918	4364	4143	5403	3942	4251
ENSG00000007216	1	0	1	0	0	2	3	5	9	4	0	0	0	7	0	18	15	5	3	3
ENSG00000007237	168	90	71	102	51	158	409	409	322	569	273	122	49	107	77	697	528	302	462	1000
ENSG00000007255	127	85	188	98	82	286	452	504	719	432	73	109	117	50	49	622	557	658	422	516
ENSG00000007264	7	9	16	36	40	93	25	151	298	70	16	6	13	18	1	125	91	38	126	32
ENSG00000007306	0	1	1	1	0	2	1	2	0	3	2	0	0	5	0	0	31	0	1	0
ENSG00000007312	7	15	11	7	0	26	13	29	51	62	37	38	19	7	1	26	98	34	227	28
ENSG00000007314	26	1	1	3	5	8	22	25	48	1	12	10	5	0	2	14	15	107	136	67
ENSG00000007341	183	155	259	184	150	424	544	449	478	456	132	144	103	64	140	370	233	312	340	268
ENSG00000007350	0	0	4	1	0	6	4	5	4	2	3	1	1	0	0	3	5	0	2	4
ENSG00000007372	9	4	12	3	10	20	19	12	23	11	3	6	4	14	8	11	11	14	18	10
ENSG00000007376	50	7	92	37	34	114	136	331	324	212	28	15	59	19	14	290	372	301	269	301
ENSG00000007384	644	448	719	436	371	1067	2115	2916	2354	2070	458	412	446	248	187	3004	2451	3539	2309	3300
ENSG00000007392	856	361	1009	608	768	1747	2301	2037	2710	2563	670	498	599	426	411	2391	2178	1499	1852	2449
ENSG00000007402	134	100	325	99	96	380	720	1059	737	594	95	94	147	36	97	723	451	1119	677	828
